 Driving down to the South Coast thinking of the waves,7.98,12.72
 Watching the rolling green landscapes against the grey skies,15.47,21.38
 Braving the cold wind to get some fresh air,23.41,28.45
 Maybe it'll help us wake from winter rainfall,28.49,36.23
" Therefore, we step gingerly over the stones",39.98,45.82
 Picnic math threatening to escape with a tug of invisible hands,47.91,53.71
" Back in the office, back to cardboard loyalties",58.26,61.06
" A rainbow colored furniture, free coffee and tea",61.9,65.14
 Won't you wait if I water cooler into my seat,66.12,69.42
" We work hard to play hard, we're a family",69.86,73.32
 Public transport held together with duct tape and patches,74.22,77.46
 Returning home to electric bills like bees and taxes,77.84,81.04
 Is this really how it turns out to be?,82.18,84.92
 Is this life for me?,86.0,88.0
