" Driving down to the South Coast, thinking of the waves.",7.96,12.74
 Watching the rolling green landscapes against the grey skies.,15.97,21.41
 Braving the cold wind to get some fresh air.,23.9,28.74
 Maybe it'll help us wake from winter rainfall.,31.88,36.32
" Therefore, we step gingerly over the stones.",39.97,45.81
 Picnic math threatening to escape with the toggle and visible hands.,48.01,53.73
" Back in the office, back to cardboard loyalties.",58.27,61.17
" A rainbow-colored furniture, free coffee and tea.",61.89,65.11
 Unctuated by what a cooler intimacy we work out to play hard.,66.13,71.45
 We're a family.,72.53,73.35
 Public transport held together with duct tape and patches.,74.25,77.47
 Returning home to electric bills like decent taxes.,77.97,81.05
 Is this really how it turns out to be?,82.19,84.95
 Is this life for me?,86.01,88.05
