" Driving down to the south coast, thinking of the waves.",0.04,12.84
 Watching the rolling green landscapes against the grey skies.,15.92,21.78
 Waving the cold wind to get some fresh air.,24.08,28.64
 Maybe it'll help us wake from winter brain fog.,31.8,36.78
 Therefore we step gingerly over the stones.,39.94,44.96
 Picnic math threatening to escape with a tug of invisible hands.,48.08,53.7
" Back in the office, back to cardboard loyalties.",58.24,61.24
" A rainbow-colored furniture, free coffee and tea.",61.84,65.08
 Punctual waited by water cooler intimacy.,66.08,69.1
 We work hard to play hard.,69.82,71.46
 We're a family.,72.5,73.34
 Public transport held together with duct tape and patches.,74.22,77.32
" Returning home to electric bills like B-Sent, Texas.",77.78,81.02
 Is this really how it turns out to be?,81.56,84.96
 Is this life for me?,85.56,88.2
